"","Timely indicators of entrepreneurship by enterprise characteristics, Italy","","","","","","","",""
"","Reference area: Liguria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","112","97","47","68","129","94",""
"","·  Unspecified","","0","1","0","1","0","0",""
"","·  Limited liability","","15","16","9","8","11","16",""
"","·  Partnership","","5","7","1","0","7","2",""
"","·  Sole proprietorship","","92","73","37","59","111","76",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Liguria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","348","254","203","189","311","205",""
"","·  Unspecified","","1","0","0","0","1","0",""
"","·  Limited liability","","33","19","8","15","22","15",""
"","·  Partnership","","12","12","6","3","11","8",""
"","·  Sole proprietorship","","302","223","189","171","277","182",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Lombardy","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","834","541","389","487","861","523",""
"","·  Unspecified","","3","2","0","1","0","1",""
"","·  Limited liability","","208","131","88","168","223","137",""
"","·  Partnership","","21","13","13","17","24","17",""
"","·  Sole proprietorship","","602","395","288","301","614","368",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Lombardy","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,470","1,725","1,250","1,489","2,429","1,710",""
"","·  Unspecified","","4","1","5","4","1","4",""
"","·  Limited liability","","403","325","230","328","448","343",""
"","·  Partnership","","83","51","41","56","63","49",""
"","·  Sole proprietorship","","1,980","1,348","974","1,101","1,917","1,314",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Abruzzo","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","91","52","50","54","104","61",""
"","·  Unspecified","","2","1","0","0","0","1",""
"","·  Limited liability","","27","7","18","9","33","11",""
"","·  Partnership","","2","3","0","0","4","0",""
"","·  Sole proprietorship","","60","41","32","45","67","49",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Abruzzo","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","307","232","169","189","318","224",""
"","·  Unspecified","","1","1","1","0","0","0",""
"","·  Limited liability","","53","31","24","33","47","25",""
"","·  Partnership","","13","3","3","5","10","2",""
"","·  Sole proprietorship","","240","197","141","151","261","197",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Molise","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","8","15","7","9","11","13",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","3","5","2","2","5","5",""
"","·  Partnership","","1","0","0","0","0","0",""
"","·  Sole proprietorship","","4","10","5","7","6","8",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Molise","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","66","60","32","44","58","54",""
"","·  Unspecified","","1","0","0","0","1","0",""
"","·  Limited liability","","13","9","8","4","7","12",""
"","·  Partnership","","2","1","1","0","1","1",""
"","·  Sole proprietorship","","50","50","23","40","49","41",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Campania","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","206","194","167","166","239","187",""
"","·  Unspecified","","2","2","1","3","4","2",""
"","·  Limited liability","","63","46","43","50","74","47",""
"","·  Partnership","","2","3","5","3","5","2",""
"","·  Sole proprietorship","","139","143","118","110","156","136",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Campania","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,708","1,422","969","1,290","1,672","1,453",""
"","·  Unspecified","","1","0","0","2","0","1",""
"","·  Limited liability","","316","180","133","179","330","204",""
"","·  Partnership","","18","11","5","9","19","13",""
"","·  Sole proprietorship","","1,373","1,231","831","1,100","1,323","1,235",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Apulia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","162","123","71","106","181","148",""
"","·  Unspecified","","2","0","2","1","0","1",""
"","·  Limited liability","","36","22","19","31","48","41",""
"","·  Partnership","","7","3","1","2","5","4",""
"","·  Sole proprietorship","","117","98","49","72","128","102",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Apulia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,047","866","628","729","1,078","828",""
"","·  Unspecified","","1","1","2","1","3","5",""
"","·  Limited liability","","153","91","65","108","163","100",""
"","·  Partnership","","24","11","10","11","27","12",""
"","·  Sole proprietorship","","869","763","551","609","885","711",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Basilicata","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","23","10","12","9","21","20",""
"","·  Unspecified","","1","0","0","1","0","0",""
"","·  Limited liability","","7","2","5","1","6","3",""
"","·  Partnership","","1","0","1","0","0","0",""
"","·  Sole proprietorship","","14","8","6","7","15","17",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Basilicata","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","101","101","63","72","122","85",""
"","·  Unspecified","","0","1","0","0","0","0",""
"","·  Limited liability","","9","11","15","8","21","13",""
"","·  Partnership","","3","2","0","0","1","2",""
"","·  Sole proprietorship","","89","87","48","64","100","70",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Calabria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","66","57","33","43","69","59",""
"","·  Unspecified","","1","1","0","0","0","1",""
"","·  Limited liability","","11","11","5","8","13","20",""
"","·  Partnership","","1","1","2","3","3","1",""
"","·  Sole proprietorship","","53","44","26","32","53","37",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Calabria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","514","484","277","399","523","370",""
"","·  Unspecified","","1","0","1","0","0","1",""
"","·  Limited liability","","70","55","25","43","69","45",""
"","·  Partnership","","6","7","4","7","8","4",""
"","·  Sole proprietorship","","437","422","247","349","446","320",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Sicily","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","147","128","87","100","162","133",""
"","·  Unspecified","","0","1","0","1","0","2",""
"","·  Limited liability","","30","22","10","29","35","20",""
"","·  Partnership","","3","1","1","0","5","2",""
"","·  Sole proprietorship","","114","104","76","70","122","109",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Sicily","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","858","781","553","674","924","790",""
"","·  Unspecified","","0","2","1","0","1","0",""
"","·  Limited liability","","76","74","41","63","104","79",""
"","·  Partnership","","9","8","8","5","19","9",""
"","·  Sole proprietorship","","773","697","503","606","800","702",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Sardinia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","64","58","24","52","73","66",""
"","·  Unspecified","","0","0","0","1","0","0",""
"","·  Limited liability","","8","4","1","1","8","9",""
"","·  Partnership","","2","1","1","3","3","0",""
"","·  Sole proprietorship","","54","53","22","47","62","57",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Sardinia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","305","230","185","287","265","258",""
"","·  Unspecified","","1","0","0","0","0","1",""
"","·  Limited liability","","35","20","4","16","20","10",""
"","·  Partnership","","6","2","3","3","10","2",""
"","·  Sole proprietorship","","263","208","178","268","235","245",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Autonomous prov. Trento","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","72","52","","40","","",""
"","·  Unspecified","","0","0","","0","","",""
"","·  Limited liability","","18","9","","18","","",""
"","·  Partnership","","4","2","","2","","",""
"","·  Sole proprietorship","","50","41","","20","","",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Autonomous prov. Trento","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","210","157","","119","","",""
"","·  Unspecified","","0","1","","0","","",""
"","·  Limited liability","","36","26","","26","","",""
"","·  Partnership","","12","4","","9","","",""
"","·  Sole proprietorship","","162","126","","84","","",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Veneto","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","574","421","283","289","629","396",""
"","·  Unspecified","","1","0","0","0","1","1",""
"","·  Limited liability","","109","85","72","99","119","74",""
"","·  Partnership","","29","17","8","15","31","16",""
"","·  Sole proprietorship","","435","319","203","175","478","305",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Veneto","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,173","854","677","621","1,142","843",""
"","·  Unspecified","","0","2","0","0","1","0",""
"","·  Limited liability","","151","84","80","111","157","120",""
"","·  Partnership","","46","36","26","27","43","31",""
"","·  Sole proprietorship","","976","732","571","483","941","692",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Friuli-Venezia Giulia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","127","67","","59","","",""
"","·  Unspecified","","1","0","","0","","",""
"","·  Limited liability","","21","11","","19","","",""
"","·  Partnership","","4","2","","2","","",""
"","·  Sole proprietorship","","101","54","","38","","",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Friuli-Venezia Giulia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","221","160","","125","","",""
"","·  Unspecified","","1","0","","1","","",""
"","·  Limited liability","","19","12","","14","","",""
"","·  Partnership","","11","6","","7","","",""
"","·  Sole proprietorship","","190","142","","103","","",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Emilia-Romagna","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","541","357","293","305","574","386",""
"","·  Unspecified","","3","5","2","0","1","1",""
"","·  Limited liability","","103","70","42","89","108","89",""
"","·  Partnership","","15","13","6","7","19","9",""
"","·  Sole proprietorship","","420","269","243","209","446","287",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Emilia-Romagna","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,232","841","623","690","1,203","839",""
"","·  Unspecified","","1","0","0","0","2","1",""
"","·  Limited liability","","144","98","82","97","153","110",""
"","·  Partnership","","43","22","10","15","32","19",""
"","·  Sole proprietorship","","1,044","721","531","578","1,016","709",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Tuscany","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","659","446","359","365","609","393",""
"","·  Unspecified","","1","0","3","1","0","0",""
"","·  Limited liability","","119","78","80","70","103","72",""
"","·  Partnership","","24","13","9","6","15","13",""
"","·  Sole proprietorship","","515","355","267","288","491","308",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Tuscany","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,109","819","577","631","1,054","734",""
"","·  Unspecified","","1","1","2","0","0","0",""
"","·  Limited liability","","160","101","62","107","132","93",""
"","·  Partnership","","54","34","20","24","50","18",""
"","·  Sole proprietorship","","894","683","493","500","872","623",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Umbria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","57","44","37","38","72","55",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","16","9","12","12","3","14",""
"","·  Partnership","","2","1","1","1","8","2",""
"","·  Sole proprietorship","","39","34","24","25","61","39",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Umbria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","178","157","113","131","171","158",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","22","19","10","11","21","29",""
"","·  Partnership","","9","3","1","4","14","6",""
"","·  Sole proprietorship","","147","135","102","116","136","123",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Marche","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","183","143","113","125","226","130",""
"","·  Unspecified","","0","1","0","0","1","0",""
"","·  Limited liability","","32","40","32","43","57","28",""
"","·  Partnership","","9","5","6","5","13","3",""
"","·  Sole proprietorship","","142","97","75","77","155","99",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Marche","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","355","272","197","215","415","261",""
"","·  Unspecified","","1","0","0","0","1","0",""
"","·  Limited liability","","33","27","15","33","51","30",""
"","·  Partnership","","16","11","5","6","15","8",""
"","·  Sole proprietorship","","305","234","177","176","348","223",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Lazio","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","175","140","79","98","172","131",""
"","·  Unspecified","","0","2","2","1","0","0",""
"","·  Limited liability","","55","29","27","36","63","38",""
"","·  Partnership","","2","1","0","1","4","6",""
"","·  Sole proprietorship","","118","108","50","60","105","87",""
"","Measure: Business entries","","","","","","","",""
"","Reference area: Lazio","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,229","928","634","800","1,260","917",""
"","·  Unspecified","","1","1","2","1","5","0",""
"","·  Limited liability","","229","137","113","184","253","173",""
"","·  Partnership","","20","9","7","16","20","11",""
"","·  Sole proprietorship","","979","781","512","599","982","733",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Italy","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","8,666","3,937","3,282","5,293","9,035","3,901",""
"","·  Unspecified","","78","44","43","68","89","47",""
"","·  Limited liability","","2,030","950","813","1,595","2,145","934",""
"","·  Partnership","","1,016","495","391","983","1,238","479",""
"","·  Sole proprietorship","","5,542","2,448","2,035","2,647","5,563","2,441",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Italy","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","28,618","14,752","12,101","16,796","29,025","13,949",""
"","·  Unspecified","","78","48","39","70","115","45",""
"","·  Limited liability","","3,813","1,687","1,290","2,437","3,995","1,730",""
"","·  Partnership","","2,506","1,099","941","2,119","2,665","1,064",""
"","·  Sole proprietorship","","22,221","11,918","9,831","12,170","22,250","11,110",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Piedmont","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","740","303","308","402","740","269",""
"","·  Unspecified","","4","2","2","8","4","1",""
"","·  Limited liability","","118","55","52","94","128","56",""
"","·  Partnership","","103","44","46","79","129","44",""
"","·  Sole proprietorship","","515","202","208","221","479","168",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Piedmont","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,349","1,092","1,020","1,203","2,441","1,068",""
"","·  Unspecified","","6","2","4","3","6","3",""
"","·  Limited liability","","189","75","66","127","170","82",""
"","·  Partnership","","237","108","89","166","307","107",""
"","·  Sole proprietorship","","1,917","907","861","907","1,958","876",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Aosta Valley","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","14","10","3","11","16","5",""
"","·  Unspecified","","0","0","0","1","0","1",""
"","·  Limited liability","","2","0","0","1","3","1",""
"","·  Partnership","","2","2","0","1","0","0",""
"","·  Sole proprietorship","","10","8","3","8","13","3",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Aosta Valley","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","49","16","8","28","44","19",""
"","·  Unspecified","","0","0","0","0","0","0",""
"","·  Limited liability","","5","1","1","2","1","1",""
"","·  Partnership","","2","1","0","7","5","6",""
"","·  Sole proprietorship","","42","14","7","19","38","12",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Liguria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","203","134","87","99","204","70",""
"","·  Unspecified","","3","2","1","2","0","1",""
"","·  Limited liability","","26","26","14","22","28","10",""
"","·  Partnership","","23","57","5","17","33","5",""
"","·  Sole proprietorship","","151","49","67","58","143","54",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Liguria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","799","553","339","463","735","377",""
"","·  Unspecified","","2","9","1","4","4","0",""
"","·  Limited liability","","61","61","16","56","81","28",""
"","·  Partnership","","110","133","29","88","100","27",""
"","·  Sole proprietorship","","626","350","293","315","550","322",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Lombardy","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","1,642","670","573","1,033","1,808","700",""
"","·  Unspecified","","15","7","4","8","7","3",""
"","·  Limited liability","","458","217","193","346","552","214",""
"","·  Partnership","","217","92","77","248","272","100",""
"","·  Sole proprietorship","","952","354","299","431","977","383",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Lombardy","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","4,356","2,024","1,825","2,648","4,537","1,895",""
"","·  Unspecified","","10","4","2","14","11","8",""
"","·  Limited liability","","731","325","262","466","880","281",""
"","·  Partnership","","388","164","161","407","455","146",""
"","·  Sole proprietorship","","3,227","1,531","1,400","1,761","3,191","1,460",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Abruzzo","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","216","91","86","104","252","82",""
"","·  Unspecified","","1","0","2","3","1","1",""
"","·  Limited liability","","63","23","16","36","69","17",""
"","·  Partnership","","23","9","13","13","36","12",""
"","·  Sole proprietorship","","129","59","55","52","146","52",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Abruzzo","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","681","341","292","380","785","294",""
"","·  Unspecified","","1","2","0","0","4","1",""
"","·  Limited liability","","77","45","26","55","90","36",""
"","·  Partnership","","60","17","16","39","93","16",""
"","·  Sole proprietorship","","543","277","250","286","598","241",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Molise","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","42","35","9","28","43","15",""
"","·  Unspecified","","1","1","0","1","0","1",""
"","·  Limited liability","","11","23","4","8","12","4",""
"","·  Partnership","","3","1","0","2","8","1",""
"","·  Sole proprietorship","","27","10","5","17","23","9",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Molise","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","160","84","67","80","156","54",""
"","·  Unspecified","","1","0","0","0","0","0",""
"","·  Limited liability","","38","22","5","5","21","5",""
"","·  Partnership","","15","7","9","9","9","3",""
"","·  Sole proprietorship","","106","55","53","66","126","46",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Campania","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","531","311","235","303","547","281",""
"","·  Unspecified","","7","2","4","6","8","2",""
"","·  Limited liability","","146","83","71","118","168","80",""
"","·  Partnership","","67","45","29","42","80","53",""
"","·  Sole proprietorship","","311","181","131","137","291","146",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Campania","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","3,490","1,991","1,573","1,781","3,426","1,884",""
"","·  Unspecified","","7","2","5","4","11","2",""
"","·  Limited liability","","551","206","200","282","496","269",""
"","·  Partnership","","267","124","127","136","268","117",""
"","·  Sole proprietorship","","2,665","1,659","1,241","1,359","2,651","1,496",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Apulia","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","411","160","137","227","452","201",""
"","·  Unspecified","","4","3","6","2","15","6",""
"","·  Limited liability","","102","44","43","58","101","42",""
"","·  Partnership","","44","20","11","35","41","18",""
"","·  Sole proprietorship","","261","93","77","132","295","135",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Apulia","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","1,951","1,031","881","1,121","2,012","898",""
"","·  Unspecified","","5","2","2","5","13","2",""
"","·  Limited liability","","194","99","85","132","235","94",""
"","·  Partnership","","118","43","40","75","123","42",""
"","·  Sole proprietorship","","1,634","887","754","909","1,641","760",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Basilicata","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","58","24","29","33","61","30",""
"","·  Unspecified","","2","0","1","0","1","1",""
"","·  Limited liability","","12","6","12","17","10","7",""
"","·  Partnership","","4","4","1","1","5","5",""
"","·  Sole proprietorship","","40","14","15","15","45","17",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Basilicata","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","274","133","86","142","277","126",""
"","·  Unspecified","","5","1","0","2","4","2",""
"","·  Limited liability","","29","21","10","19","26","12",""
"","·  Partnership","","23","5","5","16","16","6",""
"","·  Sole proprietorship","","217","106","71","105","231","106",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Calabria","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","180","83","74","90","204","71",""
"","·  Unspecified","","1","1","0","1","2","1",""
"","·  Limited liability","","16","8","11","16","21","11",""
"","·  Partnership","","27","10","13","15","18","8",""
"","·  Sole proprietorship","","136","64","50","58","163","51",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Calabria","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","936","580","427","592","970","537",""
"","·  Unspecified","","0","2","1","1","2","2",""
"","·  Limited liability","","43","32","29","38","69","35",""
"","·  Partnership","","48","38","17","36","55","31",""
"","·  Sole proprietorship","","845","508","380","517","844","469",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Sicily","","","","","","","",""
"","Economic activity: Manufacturing","","","","","","","",""
"","Total - All legal forms","","416","219","189","258","371","259",""
"","·  Unspecified","","3","5","6","5","6","9",""
"","·  Limited liability","","57","34","27","58","59","39",""
"","·  Partnership","","39","23","13","33","39","32",""
"","·  Sole proprietorship","","317","157","143","162","267","179",""
"","Measure: Business exits","","","","","","","",""
"","Reference area: Sicily","","","","","","","",""
"","Economic activity: Wholesale and retail trade; repair of motor vehicles and motorcycles","","","","","","","",""
"","Total - All legal forms","","2,131","1,251","1,062","1,177","2,349","1,277",""
"","·  Unspecified","","3","3","5","7","11","1",""
