"Average hourly wages for occupational groups and areas for full-time workers by selected work levels, civilian workers(1), 2023","","","","",""
"Selected occupational groups and areas","All levels","Level 4","Level 5","Level 6",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 38.79 ","–"," $ 37.10 "," $ 39.60 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 25.77 "," $ 21.59 ","–"," $ 30.15 ",""
"Detroit-Warren-Dearborn, MI"," $ 30.86 "," $ 23.35 ","–"," $ 34.76 ",""
"Houston-The Woodlands-Sugar Land, TX"," $ 26.28 "," $ 21.93 "," $ 26.13 "," $ 30.61 ",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 35.48 "," $ 26.44 "," $ 35.11 "," $ 38.41 ",""
"Minneapolis-St. Paul-Bloomington, MN-WI"," $ 36.17 ","–"," $ 35.34 "," $ 39.72 ",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 38.02 "," $ 25.02 "," $ 33.42 "," $ 40.43 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 33.26 ","–"," $ 32.15 "," $ 34.49 ",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 27.82 "," $ 23.93 "," $ 28.28 "," $ 32.20 ",""
"San Jose-Sunnyvale-Santa Clara, CA"," $ 42.91 "," $ 31.37 "," $ 35.64 "," $ 44.11 ",""
"Seattle-Tacoma-Bellevue, WA"," $ 39.96 "," $ 29.62 "," $ 36.04 "," $ 41.28 ",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 30.42 "," $ 23.99 "," $ 28.81 "," $ 34.71 ",""
"","","","","",""
"49-0000 Installation, Maintenance, and Repair Occupations","","","","",""
"Atlanta-Sandy Springs-Roswell, GA"," $ 28.79 "," $ 23.33 "," $ 24.58 "," $ 30.67 ",""
"Boston-Cambridge-Nashua, MA-NH"," $ 33.06 ","–"," $ 30.74 "," $ 33.82 ",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 30.77 "," $ 23.81 "," $ 29.58 "," $ 33.95 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 28.21 "," $ 20.11 "," $ 25.78 "," $ 30.80 ",""
"Detroit-Warren-Dearborn, MI"," $ 28.18 "," $ 22.21 "," $ 27.20 "," $ 30.05 ",""
"Houston-The Woodlands-Sugar Land, TX"," $ 28.71 "," $ 20.34 "," $ 25.76 "," $ 30.07 ",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 32.20 "," $ 24.22 ","–"," $ 35.63 ",""
"Miami-Fort Lauderdale-West Palm Beach, FL"," $ 26.81 "," $ 21.21 "," $ 22.77 "," $ 30.12 ",""
"Minneapolis-St. Paul-Bloomington, MN-WI"," $ 30.98 ","–"," $ 29.35 "," $ 32.85 ",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 33.15 "," $ 23.56 "," $ 30.50 "," $ 34.11 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 30.06 "," $ 23.24 "," $ 28.24 "," $ 30.13 ",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 27.92 "," $ 21.13 "," $ 24.19 "," $ 32.82 ",""
"Seattle-Tacoma-Bellevue, WA"," $ 34.69 ","–"," $ 28.15 "," $ 35.78 ",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 31.47 "," $ 25.17 "," $ 27.39 "," $ 31.92 ",""
"","","","","",""
"51-0000 Production Occupations","","","","",""
"Boston-Cambridge-Nashua, MA-NH"," $ 26.07 "," $ 25.10 "," $ 25.23 "," $ 32.40 ",""
"Chicago-Naperville-Elgin, IL-IN-WI"," $ 23.62 "," $ 21.80 "," $ 23.17 "," $ 31.35 ",""
"Dallas-Fort Worth-Arlington, TX"," $ 22.08 "," $ 20.52 "," $ 23.02 "," $ 26.83 ",""
"Detroit-Warren-Dearborn, MI"," $ 24.33 ","–"," $ 22.43 "," $ 30.80 ",""
"Houston-The Woodlands-Sugar Land, TX"," $ 25.11 ","–"," $ 22.97 ","–",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 24.23 "," $ 21.06 "," $ 24.72 "," $ 32.75 ",""
"Miami-Fort Lauderdale-West Palm Beach, FL"," $ 21.21 "," $ 19.73 "," $ 24.14 ","–",""
"Minneapolis-St. Paul-Bloomington, MN-WI"," $ 24.88 ","–"," $ 25.81 ","–",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 24.87 "," $ 24.08 "," $ 26.05 "," $ 27.66 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 25.08 "," $ 23.84 "," $ 25.73 ","–",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 23.75 "," $ 22.78 ","–"," $ 30.51 ",""
"San Jose-Sunnyvale-Santa Clara, CA"," $ 28.50 "," $ 25.52 "," $ 26.20 ","–",""
"Seattle-Tacoma-Bellevue, WA"," $ 28.84 "," $ 27.67 "," $ 27.23 "," $ 35.64 ",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 25.74 "," $ 22.77 "," $ 26.74 "," $ 31.63 ",""
"","","","","",""
"53-0000 Transportation and Material Moving Occupations","","","","",""
"Boston-Cambridge-Nashua, MA-NH"," $ 27.32 "," $ 29.10 "," $ 30.89 ","–",""
"Chicago-Naperville-Elgin, IL-IN-WI","–"," $ 29.80 "," $ 31.09 ","–",""
"Dallas-Fort Worth-Arlington, TX"," $ 24.95 "," $ 27.89 "," $ 27.82 ","–",""
"Houston-The Woodlands-Sugar Land, TX"," $ 23.96 ","–","–"," $ 33.39 ",""
"Los Angeles-Long Beach-Anaheim, CA"," $ 26.02 "," $ 27.08 "," $ 27.17 "," $ 37.18 ",""
"Miami-Fort Lauderdale-West Palm Beach, FL"," $ 27.13 "," $ 27.69 "," $ 25.93 ","–",""
"Minneapolis-St. Paul-Bloomington, MN-WI"," $ 27.40 "," $ 31.12 "," $ 29.29 ","–",""
"New York-Newark-Jersey City, NY-NJ-PA"," $ 28.34 "," $ 31.57 "," $ 35.89 "," $ 38.62 ",""
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"," $ 24.09 "," $ 30.78 "," $ 24.98 ","–",""
"Phoenix-Mesa-Scottsdale, AZ"," $ 24.44 ","–"," $ 27.67 ","–",""
"Seattle-Tacoma-Bellevue, WA"," $ 33.00 "," $ 31.51 "," $ 30.86 ","–",""
"Washington-Arlington-Alexandria, DC-VA-MD-WV"," $ 26.89 "," $ 30.29 "," $ 28.02 "," $ 38.99 ",""
"","","","","",""
"Footnotes:","","","","",""
"(1) For definitions of terms, see the MWE Handbook of Methods, available at https://www.bls.gov/opub/hom/mwe/.","","","","",""
"Note: Dashes indicate that no data were reported or that data do not meet publication criteria.","","","","",""
"Source: U.S. Bureau of Labor Statistics, Modeled Wage Estimates.","","","","",""
