"PRIORITY","","DESCRIPTION","","","","","","STATUS","","","","","","",""
"GLO","REG","REGION","CUSTOMER","CITY","POS","PART TYPE","Part #","Date 1","Date 2","Date 3","$1","$2","$3","%","$ Total"
"2","1","NA","DELTA","ATLANTA","SD","CABIN","A320","May-12","Jun-13","Dec-13","$0","$0","$108,500","75%","$108,500"
"","","","","","","","","Jun-12","","","","","","",""
"2","1","LA","GOL","SAO PAULO","SD","COCKPIT","737","Mar-13","Mar-14","Jun-14","$501,600","$0","$77,520","33%","$579,120"
"","","","","","","","","Mar-13","","","","","","",""
"2","2","NA","SOUTHWEST","DALLAS","GG","COCKPIT","737","Jan-13","Mar-14","May-14","$2,503,600","$0","$128,973","50%","$2,632,573"
"","","","","","","","","Jan-13","","","","","","",""
"2","2","NA","AIR CANADA","TORONTO","SD","COCKPIT","A320","Sep-12","Jun-13","Oct-13","$268,800","$499,200","$0","60%","$768,000"
"","","","","","","","","Sep-12","","","","","","",""
"3","2","LA","AEROMEXICO","MEXICO CITY","SD","COCKPIT","737","Jun-12","Jun-13","Jun-13","$198,000","$0","$61,200","33%","$259,200"
"","","","","","","","","Jun-12","","","","","","",""
"2","WIN","LA","AVIANCA","BOGOTA","SD","COCKPIT","A320","Jan-13","Mar-13","Jun-13","$105,000","$165,000","$0","75%","$270,000"
"","","","","","","","","Jan-13","Feb-13","Apr-13","","","","",""
"3","WIN","LA","VOLARIS","TOLUCA","SD","COCKPIT","A320","Jun-12","Jun-13","Sep-13","$117,600","$184,800","$0","33%","$302,400"
"","","","","","","","","Jun-12","Apr-13","","","","","",""
"2","WIN","LA","TACA","SAN SALVADOR","SD","COCKPIT","A320","Jan-12","Jan-12","Jan-12","$67,200","$124,800","$0","100%","$192,000"
"","","","","","","","","Dec-11","Dec-11","Jan-12","","","","",""
"2","WIN","LA","AEROGAL","ECUADOR","SD","COCKPIT","A320","Jan-12","Jan-12","Jan-12","$22,400","$31,200","$0","100%","$53,600"
"","","","","","","","","Dec-11","Dec-11","Jan-12","","","","",""
"2","WIN","LA","AEROLINEAS ARGENTINAS","BUENOS AIRES","SD","COCKPIT","737","Jun-12","Aug-12","Jan-13","$114,400","$0","$17,680","100%","$132,080"
"","","","","","","","","Jun-12","Jun-12","Jul-12","","","","",""
"2","WIN","LA","INTERJET","TOLUCA","SD","COCKPIT","A320","Jun-12","Sep-12","Feb-13","$77,700","$144,300","$0","100%","$222,000"
"","","","","","","","","Jun-12","Oct-12","Dec-12","","","","",""
