"Supplementary Table 1. Lithospheric thickness for global kimberlites and lamproites","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"locality","lithology","country","position","craton","age","mantle olivine","","magmatic olivine","","olivine references","Xenlith-based Lithospheric thickness","","","Present day seismic lithospheric thickness",""
"Karowe (Orapa AK-6)","kimberlite","Botswana","craton margin","Kaapvaal","92","88.3","2.1","87.1","0.3","Arndt et al., 2010; Giuliani et al., 2023","215","Paleogeotherm","Motsamae, 2019 PhD","190","Hoggard et al., 2020"
"Liqhobong","kimberlite","Lesotho","craton margin","Kaapvaal","91","89.6","3.7","86.2","0.4","Giuliani et al., 2020","200","Paleogeotherm","Bell et al., 2003","150","Hoggard et al., 2020"
"Kao Satellite","kimberlite","Lesotho","craton margin","Kaapvaal","89","89.5","4.6","88.3","0.3","Giuliani et al., 2020","200","Paleogeotherm","Bell et al., 2003","150","Hoggard et al., 2020"
"Letseng","kimberlite","Lesotho","craton margin","Kaapvaal","86","90.4","3.6","88.7","0.4","Giuliani et al., 2020","200","Paleogeotherm","Bell et al., 2003","150","Hoggard et al., 2020"
"Letseng Satellite","kimberlite","Lesotho","craton margin","Kaapvaal","86","89.1","1.9","88.2","0.3","Giuliani et al., 2020","200","Paleogeotherm","Bell et al., 2003","150","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"Tanzania","","","","","","","","","","","","","","",""
"Igwisi Hill","kimberlite","Tanzania","craton margin","Tanzania","0.012","91.1","0.8","90.4","0.4","Shaikh et al., 2021","180","Paleogeotherm","Shaikh et al., 2021","160","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"BRAZIL","","","","","","","","","","","","","","",""
"Perdizes-04","kimberlite","Brazil","craton margin","Sao Fransisco","90","88.0","2.6","85.4","0.3","Giuliani et al., 2023","165","","based on Tres Ranchos-04","150","Hoggard et al., 2020"
"Limpeza-18","kimberlite","Brazil","craton margin","Sao Fransisco","80","88.3","3.0","86.0","0.5","Lim et al., 2018","165","","based on Tres Ranchos-04","150","Hoggard et al., 2020"
"Três Ranchos-4","kimberlite","Brazil","craton margin","Sao Fransisco","82","91.3","1.7","89.3","0.4","Lim et al., 2018","165","Paleogeotherm","Leonardos et al., 1993; Read et al., 2004","150","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"LAC DE GRAS","","","","","","","","","","","","","","",""
"Panther","kimberlite","Canada","on craton","Slave","53","89.4","1.9","89.6","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Rat","kimberlite","Canada","on craton","Slave","","90.9","2.0","90.2","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Porpoise","kimberlite","Canada","on craton","Slave","48","90.1","1.1","90.3","0.3","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Anaconda","kimberlite","Canada","on craton","Slave","63","90.5","1.8","90.4","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Cobra South","kimberlite","Canada","on craton","Slave","60","90.8","1.6","90.3","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Antelope","kimberlite","Canada","on craton","Slave","62","91.6","1.6","90.4","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Rattler","kimberlite","Canada","on craton","Slave","60","89.8","1.9","90.6","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Springbok","kimberlite","Canada","on craton","Slave","62","90.9","1.5","90.7","0.0","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Boa","kimberlite","Canada","on craton","Slave","64","90.1","2.1","90.7","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Darkwing","kimberlite","Canada","on craton","Slave","75","91.0","2.0","90.9","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Flying V","kimberlite","Canada","on craton","Slave","64","91.9","0.9","91.1","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Panda","kimberlite","Canada","on craton","Slave","53","91.5","1.0","91.1","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Crab","kimberlite","Canada","on craton","Slave","59","90.4","1.8","91.1","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Misery Southwest Extension","kimberlite","Canada","on craton","Slave","48","90.8","0.2","90.8","0.6","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Misery East","kimberlite","Canada","on craton","Slave","","91.6","0.6","91.2","0.1","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Misery East Dyke","kimberlite","Canada","on craton","Slave","69","92.1","0.6","91.3","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Brent","kimberlite","Canada","on craton","Slave","47","91.3","0.9","91.5","0.3","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Mark","kimberlite","Canada","on craton","Slave","48","91.4","0.7","91.6","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Arnie","kimberlite","Canada","on craton","Slave","49","91.8","0.9","91.8","0.2","Tovey et al., 2021","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Grizzly","kimberlite","Canada","on craton","Slave","52","91.8","1.2","91.6","0.2","Lim et al., 2018","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Koala","kimberlite","Canada","on craton","Slave","53","91.1","1.6","91.5","0.3","Lim et al., 2018","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Leslie","kimberlite","Canada","on craton","Slave","53","91.1","1.6","91.6","0.1","Fedortchouk and Canil, 2004","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Aaron","kimberlite","Canada","on craton","Slave","49","91.5","0.9","91.7","0.2","Fedortchouk and Canil, 2004","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Diavik A154N","kimberlite","Canada","on craton","Slave","56","91.3","0.9","91.1","0.2","Brett et al., 2009","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Diavik A154S","kimberlite","Canada","on craton","Slave","56","91.3","0.9","91.2","0.2","Brett et al., 2009","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"Diavik A21","kimberlite","Canada","on craton","Slave","56","91.2","0.8","91.1","0.3","Brett et al., 2009","220","FITPLOT","Griffin et al., 1999; Liu et al., 2021","200","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"NORTH AMERICA ELSEWHERE","","","","","","","","","","","","","","",""
"Jericho","kimberlite","Canada","on craton","Slave","173","92.2","0.4","90.5","0.1","Giuliani et al., 2020","203","FITPLOT","Liu et al., 2021","200","Hoggard et al., 2020"
"Chidliak-07","kimberlite","Canada","on craton","Rae","143","","","","","","260","FITPLOT","Pobric et al., 2020","210","Hoggard et al., 2020"
"Gahcho Kue'","kimberlite","Canada","on craton","Slave","542","","","","","","240","Paleogeotherm","Mather, 2012","200","Hoggard et al., 2020"
"Renard","kimberlite","Canada","on craton","Superior","640","92.3","1.2","92.5","0.5","Patterson et al., 2009","200","Paleogeotherm","Hunt et al., 2012","200","Hoggard et al., 2020"
"Peuyuk C","kimberlite","Canada, Somerset","craton margin","Rae","100","91.4","2.1","89.6","0.1","Giuliani et al., 2020","163","FITPLOT","Mather et al., 2011","160","Hoggard et al., 2020"
"Nikos","kimberlite","Canada, Somerset","craton margin","Rae","100","91.0","2.0","88.3","0.2","Giuliani et al., 2020","163","FITPLOT","Mather et al., 2011","160","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"SIBERIA","","","","","","","","","","","","","","",""
"Udachnaya-East","kimberlite","Russia","on craton","Siberian","347","91.5","2.2","89.0","0.2","Kamenetsky et al., 2008","205","FITPLOT","Howarth et al., 2014","200","Hoggard et al., 2020"
"Obnazhennaya","kimberlite","Russia","craton margin","Siberian","152","91.5","1.5","87.2","0.5","Giuliani et al., 2023","150","FITPLOT","Howarth et al., 2014","0",""
"","","","","","","","","","","","","","","",""
"ARKHANGELSK","","","","","","","","","","","","","","",""
"Grib","kimberlite","Russia","on craton","East European","376","92.7","0.4","90.5","0.2","Sazonova et al., 2015","210","Based on P-T estimation","Lebedeva et al., 2020","200","Hoggard et al., 2020"
"Pionerskaya","olivine lamproite","Russia","on craton","East European","380","91.9","0.8","90.8","0.4","Sazonova et al., 2015","210","Plaeogeotherm","Afanasiev et al., 2013","200","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"GREENLAND","","","","","","","","","","","","","","",""
"Majuagaa","kimberlite","Greenland","craton margin","North Atlantic","559","90.0","2.3","88.6","0.3","Nielsen and Sand, 2008","215","Plaeogeotherm","Sand et al., 2009","190","Hoggard et al., 2020"
"Kangamiut","kimberlite/aillikite","Greenland","craton margin","North Atlantic","560","89.1","3.3","88.1","0.5","Arndt et al., 2010; Cordier et al., 2015","215","Plaeogeotherm","Sand et al., 2009","190","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"FINLAND","","","","","","","","","","","","","","",""
"Pipe 1","kimberlite","Finland","craton margin","Karelian","621","90.6","1.1","89.9","0.2","Dalton et al., 2020","220","Paleogeotherm","Lehtonen and O'Brien 2009","210","Hoggard et al., 2020"
"Pipe 2","kimberlite","Finland","craton margin","Karelian","593","","","","","","230","FITPLOT","Dalton et al., 2022","210","Hoggard et al., 2020"
"Pipe 3","kimberlite","Finland","craton margin","Karelian","584","","","","","","220","FITPLOT","Dalton et al., 2022","210","Hoggard et al., 2020"
"Pipe 5","kimberlite","Finland","craton margin","Karelian","605","89.9","2.3","89.3","0.5","Dalton et al., 2020","235","FITPLOT","Dalton et al., 2022","210","Hoggard et al., 2020"
"Pipe 9","kimberlite","Finland","craton margin","Karelian","603","88.8","2.8","88.8","0.2","Dalton et al., 2020","215","FITPLOT","Dalton et al., 2022","210","Hoggard et al., 2020"
"Pipe 14","kimberlite","Finland","craton margin","Karelian","585","88.9","2.8","88.3","0.3","Dalton et al., 2020","220","Paleogeotherm","Lehtonen and O'Brien 2009","210","Hoggard et al., 2020"
"Lentira","olivine lamproite","Finland","on craton","Karelian","1203","87.8","4.9","88.5","0.3","Kargin et al., 2014","250","Paleogeotherm","Lehtonen and O'Brien 2009","210","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"EASTERN DHARWAR","","","","","","","","","","","","","","",""
"Wajrakarur P2","olivine lamproite","India","on craton","Eastern Dharwar","1102","89.0","3.6","89.3","0.4","Giuliani et al., 2020; Sarkar et al. 2021","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Wajrakarur P3","kimberlite","India","on craton","Eastern Dharwar","1102","88.4","2.8","88.1","0.1","Shaikh et al., 2018","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Wajrakarur P4","olivine lamproite","India","on craton","Eastern Dharwar","1102","90.5","3.4","87.9","1.0","Shaikh et al., 2018","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Wajrakarur P12","olivine lamproite","India","on craton","Eastern Dharwar","1102","92.1","1.7","84.4","0.1","Sarkar et al., 2021","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Wajrakarur P13","olivine lamproite","India","on craton","Eastern Dharwar","1102","88.4","4.6","84.9","1.5","Shaikh et al., 2019","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Chigicherla-01 (CC1)","kimberlite","India","on craton","Eastern Dharwar","1102","90.2","2.8","89.4","0.2","Giuliani et al., 2020","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"Chigicherla-02 (CC2)","olivine lamproite","India","on craton","Eastern Dharwar","1102","88.5","3.5","87.5","1.3","Shaikh et al., 2019","190","Paleogeotherm","Shaikh et al., 2020","165","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"BASTAR","","","","","","","","","","","","","","",""
"Kodomali","olivine lamproite","India","on craton","Bastar","62","89.8","2.3","90.4","0.9","Shaikh et al., 2019","140","Based on P-T estimation","Babu et al., 2009, Dessai et al., 2021","140","Hoggard et al., 2020"
"Beradih","olivine lamproite","India","on craton","Bastar","65","91.9","1.0","88.9","0.6","Shaikh et al., 2019","","","","",""
"","","","","","","","","","","","","","","",""
"WEST KIMBERLEY","","","","","","","","","","","","","","",""
"Ellendale 4","olivine lamproite","Australia","on craton","West Kimberley","22","90.9","0.4","91.2","0.7","Jaques and Foley, 2018","206","","Based on Ellendale 7","180","Hoggard et al., 2020"
"Ellendale 7","olivine lamproite","Australia","on craton","West Kimberley","22","91.2","0.5","91.2","0.7","Jaques and Foley, 2018","206","FITPLOT","Jaques and Foley, 2018","180","Hoggard et al., 2020"
"Ellendale 9","olivine lamproite","Australia","on craton","West Kimberley","22","91.1","0.8","91.9","0.7","Jaques and Foley, 2018","206","","Based on Ellendale 7","180","Hoggard et al., 2020"
"Ellendale 11","olivine lamproite","Australia","on craton","West Kimberley","22","91.2","0.3","91.1","0.6","Jaques and Foley, 2018","206","","Based on Ellendale 7","180","Hoggard et al., 2020"
"Argyle","olivine lamproite","Australia","on craton","West Kimberley","1180","","","","","","215","FITPLOT","Sudholz et al., 2021","200","Hoggard et al., 2020"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
