"Year","Agent","Close Date","City","State","Zip Code","Volume / Loan Amount","Property Type","Lender","Gross Fee","Referral Fee","Income","PC Commission"
"","Advisor_9","03/04/2010","San Francisco","CA","94133"," $ 800,000 ","Multifamily","JPMorgan Chase Bank"," $ 8,000.00 ","0"," $ 4,000.00 "," $ 4,000.00 "
"","Advisor_6","03/11/2010","San Jose","CA","95128"," $ 960,000 ","Multifamily","JPMorgan Chase Bank"," $ 9,520.00 ","0"," $ 4,760.00 "," $ 4,760.00 "
"","Advisor_9","03/11/2010","Hayward","CA","94541"," $ 540,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,400.00 ","0"," $ 2,700.00 "," $ 2,700.00 "
"","Advisor_9","03/11/2010","San Jose","CA","95128"," $ 1,000,000 ","Multifamily","Luther Burbank Savings"," $ 11,000.00 ","0"," $ 5,500.00 "," $ 5,500.00 "
"","Advisor_9","03/16/2010","Hayward","CA","94541"," $ 1,320,000 ","Multifamily","JPMorgan Chase Bank"," $ 9,900.00 "," $ 1,980.00 "," $ 3,960.00 "," $ 3,960.00 "
"","Advisor_6","03/25/2010","San Jose","CA","95128"," $ 700,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,000.00 "," $ 3,500.00 "," $ 1,750.00 "," $ 1,750.00 "
"","Advisor_9","03/31/2010","San Francisco","CA","94103"," $ 1,979,400 ","Mixed Use","State Bank of India"," $ 19,794.00 ","0"," $ 9,897.00 "," $ 9,897.00 "
"","Advisor_4","04/08/2010","San Francisco","CA","94124"," $ 750,000 ","Mixed Use","Sequoia Bank"," $ 7,500.00 ","0"," $ 1,875.00 "," $ 3,750.00 "
"","Advisor_9","04/23/2010","Oakland","CA","94602"," $ 504,000 ","Multifamily","First Foundation Bank"," $ 5,040.00 "," $ 1,008.00 "," $ 2,016.00 "," $ 2,016.00 "
"","Advisor_9","05/25/2010","Oakland","CA","94612"," $ 1,800,000 ","SRO","Bank of East Asia"," $ 18,000.00 "," $ 2,160.00 "," $ 7,920.00 "," $ 7,920.00 "
"","Advisor_4","05/28/2010","San Francisco","CA","94109"," $ 1,525,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,625.00 ","0"," $ 1,906.25 "," $ 3,812.50 "
"","Advisor_9","06/03/2010","Oakland","CA","94603"," $ 340,000 ","Multifamily","Stonecrest"," $ 5,100.00 ","0"," $ 2,550.00 "," $ 2,550.00 "
"","Advisor_9","06/22/2010","San Jose","CA","95112"," $ 1,007,500 ","Multifamily","JPMorgan Chase Bank"," $ 10,075.00 "," $ 1,000.00 "," $ 4,537.50 "," $ 4,537.50 "
"","Advisor_9","07/15/2010","Oakland","CA","946019"," $ 708,000 ","Mixed Use","Greystone"," $ 6,018.00 ","0"," $ 3,009.00 "," $ 3,009.00 "
"","Advisor_9","08/19/2010","Daly City","CA","94104"," $ 1,300,000 ","NNN","GBC International"," $ 13,000.00 ","0"," $ 6,500.00 "," $ 6,500.00 "
"","Advisor_9","08/24/2010","Hayward","CA","94544"," $ 1,667,500 ","Multifamily","Technology Credit Union Bank"," $ 12,431.25 "," $ 3,107.81 "," $ 4,661.72 "," $ 4,661.72 "
"","Advisor_9","08/25/2010","Oakland","CA","94606"," $ 400,000 ","Multifamily","Alta Alliance"," $ 4,000.00 ","0"," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","09/10/2010","Oakland","CA","94605"," $ 4,000,000 ","Multifamily","Greystone"," $ 57,211.00 ","0"," $ 28,605.50 "," $ 28,605.50 "
"","Advisor_9","09/10/2010","N/A","N/A","N/A","0","--","--"," $ 3,975.00 ","0"," $ 1,987.50 "," $ 1,987.50 "
"","Advisor_9","09/15/2010","Hayward","CA","94544"," $ 500,000 ","Multifamily","JPMorgan Chase Bank"," $ 4,830.75 "," $ 966.15 "," $ 2,318.76 "," $ 2,318.76 "
"","Advisor_9","09/22/2010","Berkeley","CA","94709"," $ 625,000 ","Multifamily","JPMorgan Chase Bank"," $ 6,250.00 ","0"," $ 3,125.00 "," $ 3,125.00 "
"","Advisor_9","10/04/2010","Oakland","CA","94601"," $ 1,999,000 ","Multifamily","Greystone"," $ 26,836.50 "," $ 3,368.30 "," $ 11,734.10 "," $ 11,734.10 "
"","Advisor_9","10/12/2010","Santa Rosa","CA","95403"," $ 2,450,000 ","Office/Retail","Symetra"," $ 12,150.00 ","0"," $ 6,075.00 "," $ 6,075.00 "
"","Advisor_9","11/18/2010","Oakland","CA","94610"," $ 795,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,950.00 ","0"," $ 3,975.00 "," $ 3,975.00 "
"","Advisor_9","11/30/2010","Berkeley","CA","94703"," $ 796,000 ","Multifamily","First Foundation Bank"," $ 3,980.00 "," $ 796.00 "," $ 1,592.00 "," $ 1,592.00 "
"","Advisor_9","11/30/2010","Berkeley","CA","94703"," $ 760,000 ","Multifamily","First Foundation Bank"," $ 5,700.00 "," $ 1,140.00 "," $ 2,280.00 "," $ 2,280.00 "
"","Advisor_9","12/03/2010","Berkeley","CA","94709"," $ 660,000 ","Multifamily","JPMorgan Chase Bank"," $ 6,600.00 ","0"," $ 3,300.00 "," $ 3,300.00 "
"","Advisor_9","12/06/2010","San Leandro","CA","94577"," $ 385,000 ","Multifamily","U.S. Bank"," $ 3,850.00 "," $ 770.00 "," $ 1,540.00 "," $ 1,540.00 "
"","Advisor_9","12/17/2010","Antioch","CA","94509"," $ 674,000 ","Multifamily","Sequoia Bank"," $ 6,744.00 ","0"," $ 3,372.00 "," $ 3,372.00 "
"","Advisor_9","12/22/2010","Moraga","CA","94556"," $ 2,350,000 ","Multifamily","JPMorgan Chase Bank"," $ 23,500.00 "," $ 4,700.00 "," $ 9,400.00 "," $ 9,400.00 "
"","Advisor_9","12/29/2010","Spokane","WA","99223"," $ 1,580,000 ","Multifamily","Union Bank"," $ 23,700.00 "," $ 9,875.00 "," $ 6,912.50 "," $ 6,912.50 "
"2011","Advisor_9","01/13/2011","El Granada","CA","94018"," $ 711,000 ","Multifamily","Sterling Savings Bank"," $ 7,110.00 ","0"," $ 3,555.00 "," $ 3,555.00 "
"","Advisor_9","01/14/2011","San Mateo","CA","94010"," $ 425,000 ","Commercial","U.S. Bank"," $ 4,250.00 ","0"," $ 2,125.00 "," $ 2,125.00 "
"","Advisor_9","01/15/2011","Richmond","CA","94804"," $ 580,000 ","Multifamily","Apartment Bank"," $ 5,800.00 "," $ 1,160.00 "," $ 2,320.00 "," $ 2,320.00 "
"","Advisor_9","01/20/2011","Pinole","CA","94564"," $ 1,960,000 ","NNN","Fremont Bank"," $ 19,600.00 "," $ 3,920.00 "," $ 7,840.00 "," $ 7,840.00 "
"","Advisor_9","01/21/2011","Berkeley","CA","94704"," $ 400,000 ","Multifamily","Stonecrest"," $ 4,000.00 ","0"," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","01/21/2011","Berkeley","CA","94704"," $ 912,000 ","Multifamily","Union Bank"," $ 9,120.00 ","0"," $ 4,560.00 "," $ 4,560.00 "
"","Advisor_9","01/27/2011","Berkeley","CA","94709"," $ 1,540,000 ","Multifamily","First Foundation Bank"," $ 15,400.00 ","0"," $ 7,700.00 "," $ 7,700.00 "
"","Advisor_9","02/01/2011","Oakland","CA","94606"," $ 975,000 ","Multifamily","Greystone"," $ 7,312.50 "," $ 1,462.50 "," $ 2,925.00 "," $ 2,925.00 "
"","Advisor_9","03/09/2011","Oakland","CA","94606"," $ 525,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,250.00 ","0"," $ 2,625.00 "," $ 2,625.00 "
"","Advisor_9","03/10/2011","Oakland","CA","94611"," $ 1,567,500 ","Multifamily","Sterling Savings Bank"," $ 15,675.00 ","0"," $ 7,837.50 "," $ 7,837.50 "
"","Advisor_9","03/22/2011","Redwood City","CA","94061"," $ 1,000,000 ","Multifamily","First Foundation Bank"," $ 10,000.00 "," $ 2,000.00 "," $ 4,000.00 "," $ 4,000.00 "
"","Advisor_9","03/29/2011","Oakland","CA","94619"," $ 1,080,000 ","Multifamily","Sterling Savings Bank"," $ 10,000.00 ","0"," $ 5,000.00 "," $ 5,000.00 "
"","Advisor_9","04/06/2011","San Jose","CA","95128"," $ 900,000 ","Multifamily","Sterling Savings Bank"," $ 9,000.00 "," $ 1,800.00 "," $ 3,600.00 "," $ 3,600.00 "
"","Advisor_9","04/08/2011","El Cerrito","CA","94530"," $ 600,000 ","Multifamily","Sterling Savings Bank"," $ 6,000.00 ","0"," $ 3,000.00 "," $ 3,000.00 "
"","Advisor_9","04/22/2011","Berkeley","CA","94704"," $ 275,000 ","Multifamily","Stonecrest"," $ 2,450.00 ","0"," $ 1,225.00 "," $ 1,225.00 "
"","Advisor_9","04/22/2011","Sunnyvale","CA","94085"," $ 595,000 ","Multifamily","Sterling Savings Bank"," $ 5,950.00 "," $ 1,190.00 "," $ 2,380.00 "," $ 2,380.00 "
"","Advisor_9","04/26/2011","Oakland","CA","94611"," $ 789,500 ","Multifamily","Apartment Bank"," $ 7,895.00 ","0"," $ 3,947.50 "," $ 3,947.50 "
"","Advisor_9","04/27/2011","Berkeley","CA","94704"," $ 625,000 ","Mixed Use","GBC International"," $ 9,225.00 ","0"," $ 4,617.50 "," $ 4,617.50 "
"","Advisor_9","04/28/2011","San Francisco","CA","94110"," $ 630,000 ","Multifamily","Apartment Bank"," $ 6,300.00 ","0"," $ 3,150.00 "," $ 3,150.00 "
"","Advisor_9","04/29/2011","Oakland","CA","94602"," $ 1,634,500 ","Multifamily","First Foundation Bank"," $ 15,421.00 ","0"," $ 7,710.50 "," $ 7,710.50 "
"","Advisor_9","04/29/2011","San Francisco","CA","94134"," $ 1,072,500 ","Multifamily","Apartment Bank"," $ 10,725.00 ","0"," $ 5,362.50 "," $ 5,362.50 "
"","Advisor_9","05/04/2011","Oakland","CA","94601"," $ 1,148,000 ","Multifamily","Greystone"," $ 8,610.00 ","0"," $ 4,305.00 "," $ 4,305.00 "
"","Advisor_9","05/13/2011","Daly City","CA","94015"," $ 800,000 ","Multifamily","Sterling Savings Bank"," $ 8,000.00 ","0"," $ 4,000.00 "," $ 4,000.00 "
"","Advisor_9","05/20/2011","Newark","CA","94560"," $ 1,207,000 ","Multifamily","Sterling Savings Bank"," $ 12,070.00 "," $ 2,414.00 "," $ 4,828.00 "," $ 4,828.00 "
"","Advisor_5","05/24/2011","Redwood City","CA","94061"," $ 700,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,000.00 ","0"," $ 1,750.00 "," $ 3,500.00 "
"","Advisor_9","05/24/2011","Oakland","CA","94602"," $ 3,000,000 ","Multifamily","Lone Oak Fund"," $ 30,000.00 ","0"," $ 15,000.00 "," $ 15,000.00 "
"","Advisor_9","05/24/2011","Hayward","CA","94544"," $ 2,397,500 ","Multifamily","Technology Credit Union Bank"," $ 34,556.25 "," $ 4,495.31 "," $ 15,030.47 "," $ 15,030.47 "
"","Advisor_9","05/26/2011","Moraga","CA","94556"," $ 3,150,000 ","Multifamily","JPMorgan Chase Bank"," $ 26,775.00 "," $ 5,355.00 "," $ 10,710.00 "," $ 10,710.00 "
"","Advisor_9","05/29/2011","Oakland","CA","94602"," $ 1,340,000 ","Multifamily","Luther Burbank Savings"," $ 13,400.00 ","0"," $ 6,700.00 "," $ 6,700.00 "
"","Advisor_5","06/07/2011","San Mateo","CA","94401"," $ 3,832,500 ","Multifamily","JPMorgan Chase Bank"," $ 19,162.50 ","0"," $ 4,790.63 "," $ 9,581.25 "
"","Advisor_5","06/08/2011","San Jose","CA","95128"," $ 500,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,000.00 ","0"," $ 1,250.00 "," $ 2,500.00 "
"","Advisor_8","06/08/2011","San Francisco","CA","94115"," $ 1,080,000 ","Multifamily","JPMorgan Chase Bank"," $ 10,800.00 ","0"," $ 5,400.00 "," $ 5,400.00 "
"","Advisor_9","06/22/2011","El Cerrito","CA","94530"," $ 1,000,000 ","Multifamily","Sterling Savings Bank"," $ 10,000.00 "," $ 2,000.00 "," $ 4,000.00 "," $ 4,000.00 "
"","Advisor_9","06/23/2011","San Leandro","CA","94577"," $ 1,202,500 ","Multifamily","Apartment Bank"," $ 12,025.00 ","0"," $ 6,012.50 "," $ 6,012.50 "
"","Advisor_5","06/24/2011","San Mateo","CA","94401"," $ 500,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,000.00 "," $ 500.00 "," $ 1,125.00 "," $ 2,250.00 "
"","Advisor_5","06/28/2011","San Francisco","CA","94132"," $ 500,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,000.00 "," $ 1,000.00 "," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","06/28/2011","Berkeley","CA","94703"," $ 500,000 ","Multifamily","Sterling Savings Bank"," $ 5,000.00 "," $ 1,000.00 "," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_5","06/29/2011","Sunnyvale","CA","94086"," $ 500,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,000.00 "," $ 1,000.00 "," $ 2,000.00 "," $ 2,000.00 "
"","Advisor_9","06/30/2011","Los Angeles","CA","90066"," $ 670,000 ","Multifamily","JPMorgan Chase Bank"," $ 6,700.00 "," $ 1,340.00 "," $ 2,680.00 "," $ 2,680.00 "
"","Advisor_5","07/01/2011","Santa Clara","CA","95051"," $ 560,000 ","Multifamily","JPMorgan Chase Bank"," $ 5,600.00 "," $ 1,120.00 "," $ 2,240.00 "," $ 2,240.00 "
"","Advisor_9","07/01/2011","Rohnert Park","CA","94928"," $ 2,275,000 ","NNN","Symetra"," $ 11,375.00 ","0"," $ 5,687.50 "," $ 5,687.50 "
"","Advisor_9","07/01/2011","San Francisco","CA","94102"," $ 1,946,500 ","Mixed Use","Umpqua Bank"," $ 18,567.50 ","0"," $ 9,283.75 "," $ 9,283.75 "
"","Advisor_9","07/01/2011","North Hollywood","CA","91606"," $ 1,250,000 ","Multifamily","Union Bank"," $ 24,700.00 "," $ 12,350.00 "," $ 6,175.00 "," $ 6,175.00 "
"","Advisor_9","07/14/2011","San Francisco","CA","94134"," $ 700,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,000.00 ","0"," $ 3,500.00 "," $ 3,500.00 "
"","Advisor_9","07/15/2011","Berkeley","CA","94702"," $ 614,700 ","Multifamily","Apartment Bank"," $ 6,188.00 ","0"," $ 3,094.00 "," $ 3,094.00 "
"","Advisor_9","07/22/2011","Moraga","CA","94556"," $ 2,900,000 ","Multifamily","JPMorgan Chase Bank"," $ 29,000.00 ","0"," $ 14,500.00 "," $ 14,500.00 "
"","Advisor_9","07/28/2011","Oakland","CA","94601"," $ 2,190,000 ","Multifamily","Greystone"," $ 16,425.00 "," $ 3,066.00 "," $ 6,679.50 "," $ 6,679.50 "
"","Advisor_9","08/03/2011","Oakland","CA","94601"," $ 1,300,000 ","Multifamily","Sequoia Bank"," $ 11,015.70 ","0"," $ 5,507.85 "," $ 5,507.85 "
"","Advisor_9","08/12/2011","Oakland","CA","94619"," $ 2,290,000 ","Multifamily","Greystone"," $ 16,030.00 "," $ 2,404.50 "," $ 6,812.75 "," $ 6,812.75 "
"","Advisor_9","08/19/2011","Oakland","CA","94601"," $ 1,153,000 ","Multifamily","Greystone"," $ 8,071.00 "," $ 1,614.20 "," $ 3,228.40 "," $ 3,228.40 "
"","Advisor_9","08/25/2011","Oakland","CA","94606"," $ 525,000 ","Multifamily","JPMorgan Chase Bank"," $ 3,825.00 ","0"," $ 1,912.50 "," $ 1,912.50 "
"","Advisor_5","08/31/2011","San Jose","CA","95117"," $ 1,050,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,500.00 ","0"," $ 3,750.00 "," $ 3,750.00 "
"","Advisor_5","08/31/2011","Mountain View","CA","94043"," $ 5,456,000 ","Multifamily","First Foundation Bank"," $ 27,030.00 "," $ 5,406.00 "," $ 10,812.00 "," $ 10,812.00 "
"","Advisor_9","09/01/2011","Hayward","CA","94541"," $ 750,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,500.00 ","0"," $ 3,750.00 "," $ 3,750.00 "
"","Advisor_8","09/09/2011","San Francisco","CA","94102"," $ 2,643,750 ","Multifamily","JPMorgan Chase Bank"," $ 26,437.00 ","0"," $ 13,218.50 "," $ 13,218.50 "
"","Advisor_9","09/20/2011","San Francisco","CA","94117"," $ 900,000 ","Multifamily","Sterling Savings Bank"," $ 9,000.00 "," $ 1,800.00 "," $ 3,600.00 "," $ 3,600.00 "
"","Advisor_8","09/21/2011","San Francisco","CA","94115"," $ 1,200,000 ","Multifamily","JPMorgan Chase Bank"," $ 12,000.00 "," $ 1,200.00 "," $ 5,400.00 "," $ 5,400.00 "
"","Advisor_5","09/22/2011","Concord","CA","94520"," $ 350,000 ","Multifamily","Apartment Bank"," $ 5,250.00 "," $ 700.00 "," $ 2,275.00 "," $ 2,275.00 "
"","Advisor_9","09/23/2011","Berkeley","CA","94709"," $ 708,000 ","Multifamily","Technology Credit Union Bank"," $ 14,160.00 ","0"," $ 7,080.00 "," $ 7,080.00 "
"","Advisor_9","09/23/2011","Oakland","CA","94612"," $ 1,450,000 ","Multifamily","Sterling Savings Bank"," $ 14,500.00 ","0"," $ 7,250.00 "," $ 7,250.00 "
"","Advisor_9","09/23/2011","San Francisco","CA","94115"," $ 725,000 ","Office","Umpqua Bank"," $ 7,250.00 ","0"," $ 3,625.00 "," $ 3,625.00 "
"","Advisor_9","09/28/2011","Oakland","CA","94610"," $ 918,750 ","Multifamily","Opus Bank"," $ 9,187.50 ","0"," $ 4,593.75 "," $ 4,593.75 "
"","Advisor_9","10/14/2011","Redwood City","CA","94063"," $ 920,000 ","Multifamily","JPMorgan Chase Bank"," $ 9,200.00 "," $ 1,840.00 "," $ 3,680.00 "," $ 3,680.00 "
"","Advisor_9","10/14/2011","San Francisco","CA","94115"," $ 2,000,000 ","Multifamily","JPMorgan Chase Bank"," $ 20,000.00 "," $ 4,000.00 "," $ 8,000.00 "," $ 8,000.00 "
"","Advisor_9","10/20/2011","San Francisco","CA","94123"," $ 1,300,000 ","Multifamily","Sterling Savings Bank"," $ 9,750.00 ","0"," $ 4,875.00 "," $ 4,875.00 "
"","Advisor_5","10/21/2011","San Francisco","CA","94114"," $ 1,900,000 ","Multifamily","Sterling Savings Bank"," $ 19,000.00 "," $ 3,800.00 "," $ 7,600.00 "," $ 7,600.00 "
"","Advisor_9","10/21/2011","Berkeley","CA","94130"," $ 772,500 ","Multifamily","JPMorgan Chase Bank"," $ 7,725.00 ","0"," $ 3,862.50 "," $ 3,862.50 "
"","Advisor_5","10/28/2011","San Francisco","CA","94110"," $ 2,000,000 ","Multifamily","Opus Bank"," $ 20,000.00 ","0"," $ 10,000.00 "," $ 10,000.00 "
"","Advisor_9","10/28/2011","Albany","CA","94706"," $ 736,000 ","Multifamily","JPMorgan Chase Bank"," $ 7,360.00 ","0"," $ 3,680.00 "," $ 3,680.00 "
"","Advisor_9","10/28/2011","Berkeley","CA","94704"," $ 1,586,000 ","Multifamily","JPMorgan Chase Bank"," $ 15,860.00 ","0"," $ 7,930.00 "," $ 7,930.00 "
"","Advisor_9","10/28/2011","San Francisco","CA","94110"," $ 625,000 ","Multifamily","Sterling Savings Bank"," $ 6,250.00 "," $ 1,250.00 "," $ 2,500.00 "," $ 2,500.00 "
"","Advisor_9","10/28/2011","Redwood City","CA","94061"," $ 1,950,000 ","Multifamily","First Foundation Bank"," $ 19,500.00 "," $ 3,900.00 "," $ 7,800.00 "," $ 7,800.00 "
"","Advisor_5","11/01/2011","Santa Cruz","CA","95060"," $ 1,165,000 ","Multifamily","Opus Bank"," $ 11,650.00 "," $ 2,330.00 "," $ 4,660.00 "," $ 4,660.00 "
"","Advisor_9","11/01/2011","Berkeley","CA","94705"," $ 1,640,000 ","Mixed Use","JPMorgan Chase Bank"," $ 16,400.00 ","0"," $ 8,200.00 "," $ 8,200.00 "
"","Advisor_8","11/09/2011","Sacramento","CA","95825"," $ 420,000 ","Multifamily","Lone Oak Fund"," $ 8,400.00 "," $ 1,680.00 "," $ 3,360.00 "," $ 3,360.00 "
"","Advisor_8","11/10/2011","Hawthorne","CA","90250"," $ 577,500 ","Multifamily","First Foundation Bank"," $ 5,775.00 "," $ 1,155.00 "," $ 2,310.00 "," $ 2,310.00 "
"","Advisor_9","11/16/2011","Oakland","CA","94611"," $ 2,162,000 ","Multifamily","JPMorgan Chase Bank"," $ 21,620.00 ","0"," $ 10,810.00 "," $ 10,810.00 "
"","Advisor_9","11/18/2011","Napa","CA","94558"," $ 450,000 ","Multifamily","JPMorgan Chase Bank"," $ 4,050.00 "," $ 810.00 "," $ 1,620.00 "," $ 1,620.00 "
"","Advisor_9","11/18/2011","St. Augustine","FL","32092"," $ 600,000 ","NNN","Standard Insurance Company"," $ 6,000.00 "," $ 1,200.00 "," $ 2,400.00 "," $ 2,400.00 "
