"8"," Labour input indices: Workers, productivity jobs and productivity hours","","","","","","","","","","","","",""
""," United Kingdom","","","","","","","","","","","","",""
"","2020","99.2","99.1","89.4","99.9","","98","88.6","","97.8","87.5","","99.6","90.2"
"","","","","","","","","","","","","","",""
"","1959 Q3","72.6","72.2","","99.5","","","","","","","","",""
"","Q4","72.9","72.5","","99.5","","","","","","","","",""
"","1960 Q1","73.2","72.9","","99.6","","","","","","","","",""
"","Q2","73.6","73.2","","99.5","","","","","","","","",""
"","Q3","73.8","73.4","","99.4","","","","","","","","",""
"","Q4","74.2","73.9","","99.6","","","","","","","","",""
"","1961 Q1","74.5","74.2","","99.5","","","","","","","","",""
"","Q2","74.6","74.1","","99.3","","","","","","","","",""
"","Q3","74.7","74.3","","99.5","","","","","","","","",""
"","Q4","74.6","74.1","","99.3","","","","","","","","",""
"","1962 Q1","74.8","74.5","","99.6","","","","","","","","",""
"","Q2","75","74.6","","99.5","","","","","","","","",""
"","Q3","75.1","74.6","","99.4","","","","","","","","",""
"","Q4","74.9","74.4","","99.3","","","","","","","","",""
"","1963 Q1","74.7","74.1","","99.3","","","","","","","","",""
"","Q2","75","74.7","","99.7","","","","","","","","",""
"","Q3","75.2","74.8","","99.4","","","","","","","","",""
"","Q4","75.5","75.2","","99.6","","","","","","","","",""
"","1964 Q1","75.8","75.4","","99.5","","","","","","","","",""
"","Q2","76","75.6","","99.5","","","","","","","","",""
"","Q3","76.3","76","","99.5","","","","","","","","",""
"","Q4","76.6","76.2","","99.5","","","","","","","","",""
"","1965 Q1","76.8","76.4","","99.5","","","","","","","","",""
"","Q2","76.9","76.4","","99.4","","","","","","","","",""
"","Q3","77","76.5","","99.4","","","","","","","","",""
"","Q4","77.2","76.8","","99.5","","","","","","","","",""
"","1966 Q1","77.4","77","","99.4","","","","","","","","",""
"","Q2","77.4","76.9","","99.4","","","","","","","","",""
"","Q3","77.4","77","","99.4","","","","","","","","",""
"","Q4","77","76.3","","99.1","","","","","","","","",""
"","1967 Q1","76.4","75.8","","99.2","","","","","","","","",""
"","Q2","76.3","75.9","","99.4","","","","","","","","",""
"","Q3","76.4","76","","99.4","","","","","","","","",""
"","Q4","76.2","75.7","","99.2","","","","","","","","",""
"","1968 Q1","76","75.5","","99.3","","","","","","","","",""
"","Q2","76","75.5","","99.4","","","","","","","","",""
"","Q3","76","75.6","","99.4","","","","","","","","",""
"","Q4","76","75.6","","99.4","","","","","","","","",""
"","1969 Q1","76","75.6","","99.4","","","","","","","","",""
"","Q2","76","75.6","","99.4","","","","","","","","",""
"","Q3","76","75.6","","99.4","","","","","","","","",""
"","Q4","76","75.5","","99.4","","","","","","","","",""
"","1970 Q1","76","75.6","","99.4","","","","","","","","",""
"","Q2","75.9","75.3","","99.3","","","","","","","","",""
"","Q3","75.7","75.1","","99.3","","","","","","","","",""
"","Q4","75.5","75","","99.3","","","","","","","","",""
"","1971 Q1","75","74.4","82.1","99.1","","","","","","","","",""
"","Q2","74.9","74.3","82","99.3","","","","","","","","",""
"","Q3","74.6","73.8","81.9","99","","","","","","","","",""
"","Q4","74.4","73.8","81.9","99.2","","","","","","","","",""
"","1972 Q1","74.7","74.3","82.6","99.5","","","","","","","","",""
"","Q2","74.8","74.3","83","99.3","","","","","","","","",""
"","Q3","75","74.6","83.3","99.6","","","","","","","","",""
"","Q4","75.3","75.1","83.8","99.8","","","","","","","","",""
"","1973 Q1","75.9","76.1","84.7","100.2","","","","","","","","",""
"","Q2","76.2","76.1","85","99.9","","","","","","","","",""
"","Q3","76.1","76.2","84.9","100","","","","","","","","",""
"","Q4","76.2","76.2","85","100","","","","","","","","",""
"","1974 Q1","76.2","76.2","84.7","100","","","","","","","","",""
"","Q2","76.2","76.3","84.6","100.1","","","","","","","","",""
"","Q3","76.4","76.6","84.4","100.2","","","","","","","","",""
"","Q4","76.4","76.4","84","100","","","","","","","","",""
"","1975 Q1","76.2","76.2","83.3","100","","","","","","","","",""
"","Q2","76.1","76.1","82.8","100","","","","","","","","",""
"","Q3","76","75.9","82.4","99.9","","","","","","","","",""
"","Q4","75.8","75.7","82.1","99.8","","","","","","","","",""
"","1976 Q1","75.6","75.5","81.8","99.7","","","","","","","","",""
"","Q2","75.5","75.4","81.8","99.8","","","","","","","","",""
"","Q3","75.5","75.4","81.8","99.8","","","","","","","","",""
"","Q4","75.6","75.5","82.1","99.9","","","","","","","","",""
"","1977 Q1","75.6","75.5","82.3","99.8","","","","","","","","",""
"","Q2","75.6","75.5","82.4","99.9","","","","","","","","",""
"","Q3","75.6","75.6","82.4","99.9","","","","","","","","",""
"","Q4","75.7","75.6","82.5","100","","","","","","","","",""
"","1978 Q1","75.8","75.8","82.6","100.1","","","","","","","","",""
"","Q2","75.9","76.2","82.7","100.4","","","","","","","","",""
"","Q3","76","76.5","82.9","100.6","","240.8","","","250.2","","","",""
"","Q4","76.4","77","83.3","100.8","","240.7","","","250.1","","","",""
"","1979 Q1","76.6","77.1","83.5","100.7","","240.2","","","249.5","","","",""
"","Q2","76.7","77.4","83.6","100.9","","240.1","","","249.3","","","",""
"","Q3","76.9","77.6","83.7","100.9","","239.4","","","248.4","","","",""
"","Q4","77.1","77.8","83.6","100.9","","238","","","246.7","","","",""
"","1980 Q1","77","77.6","83.2","100.7","","235","","","243.3","","","",""
"","Q2","76.8","77.3","82.5","100.6","","231","","","238.9","","","",""
"","Q3","76.4","76.5","81.5","100.2","","224.7","","","231.7","","","",""
"","Q4","75.8","75.7","80.3","99.9","","218.6","","","224.9","","","",""
"","1981 Q1","75.2","75","79.2","99.7","","213.5","","","219.6","","","",""
"","Q2","74.7","74.4","78.3","99.6","","209.9","","","215.5","","","",""
"","Q3","74.3","74","77.7","99.7","","207.1","","","212.4","","","",""
"","Q4","73.8","73.6","77.2","99.7","","204.3","","","209.6","","","",""
"","1982 Q1","73.5","73.4","77","99.9","","202.2","","","207.5","","","",""
"","Q2","73.3","73.1","76.7","99.8","","198.8","","","203.8","","","",""
"","Q3","72.9","72.7","76.3","99.8","","195.4","","","200.1","","","",""
"","Q4","72.4","72.3","75.7","99.8","","192.3","","","196.9","","","",""
"","1983 Q1","72.1","72.1","75.3","100","","190.2","","","194.8","","","",""
"","Q2","72.1","72.3","75.2","100.3","","188.2","","","192.8","","","",""
"","Q3","72.6","73","75.7","100.6","","187.2","","","191.9","","","",""
"","Q4","73.2","73.6","76.3","100.6","","186.6","","","191.5","","","",""
"","1984 Q1","73.6","74","76.8","100.6","","186","","","191.1","","","",""
"","Q2","73.9","74.3","77.3","100.5","","185.8","","","191","","","",""
"","Q3","74.2","74.6","77.7","100.5","","185","","","190.3","","","",""
"","Q4","74.5","74.9","78.1","100.5","","184.9","","","190.4","","","",""
"","1985 Q1","74.7","75.1","78.4","100.4","","184.6","","","190.1","","","",""
"","Q2","74.9","75.2","78.6","100.3","","184","","","189.8","","","",""
"","Q3","75.1","75.3","78.7","100.3","","183.6","","","189.7","","","",""
"","Q4","75.2","75.3","78.7","100.1","","182.4","","","188.7","","","",""
"","1986 Q1","75.2","75.2","78.6","100","","181","","","187.7","","","",""
"","Q2","75.3","75.3","78.6","100","","179.2","","","185.8","","","",""
"","Q3","75.5","75.5","78.9","100","","177.9","","","184.7","","","",""
"","Q4","75.8","75.8","79.2","100","","177.1","","","184.1","","","",""
"","1987 Q1","76","76","79.5","100","","176","","","183.3","","","",""
"","Q2","76.6","76.8","80.2","100.3","","177.1","","","184.6","","","",""
"","Q3","77.3","77.6","81","100.4","","177.5","","","185","","","",""
"","Q4","78","78.4","81.8","100.5","","178","","","185.8","","","",""
"","1988 Q1","78.6","79","82.6","100.5","","178.4","","","186.5","","","",""
"","Q2","79.2","79.6","83.3","100.5","","178.5","","","186.8","","","",""
"","Q3","79.8","80.3","83.9","100.7","","178.6","","","187","","","",""
"","Q4","80.4","81","84.6","100.8","","179.3","","","187.9","","","",""
"","1989 Q1","81.1","81.9","85.4","101","","179.3","","","188.1","","","",""
"","Q2","81.5","82.1","85.9","100.8","","178.9","","","187.9","","","",""
"","Q3","81.7","82.4","86.2","100.9","","179.1","","","188.3","","","",""
"","Q4","82","82.8","86.4","101","","178","","","187.2","","","",""
"","1990 Q1","82","82.8","86.3","100.9","","176.2","","","185.4","","","",""
"","Q2","82.1","83","86.2","101.1","","174.9","","","184","","","",""
"","Q3","82","82.7","85.7","100.9","","173.2","","","182.1","","","",""
"","Q4","81.6","82.1","84.8","100.7","","169.5","","","178.2","","","",""
"","1991 Q1","80.9","81.2","83.8","100.4","","164.7","","","173","","","",""
"","Q2","80.1","80.4","82.7","100.4","","160.5","","","168.4","","","",""
"","Q3","79.3","79.7","81.7","100.4","","157.4","","","165.1","","","",""
"","Q4","78.7","79.1","81","100.4","","154.9","","","162.7","","","",""
"","1992 Q1","78.4","78.8","80.5","100.6","","152.5","","","160.4","","","",""
"","Q2","78.1","78.2","80.6","100.2","","150.6","","","158.5","","","",""
"","Q3","77.8","77.9","79.9","100.2","","149.1","","","156.8","","","",""
"","Q4","77.2","77.5","79.2","100.3","","145.7","","","153.4","","","",""
"","1993 Q1","77.1","77.5","79.1","100.5","","144.9","","","152.8","","","",""
"","Q2","77.1","77.6","79.1","100.6","","144.4","","","152.9","","","",""
"","Q3","77.2","77.8","79.1","100.7","","143.8","","","152.4","","","",""
"","Q4","77.2","77.9","79","100.9","","143.7","","","152.6","","","",""
"","1994 Q1","77.5","78.2","79.6","100.9","","144.2","142.5","","153.4","151.7","","","70.6"
"","Q2","77.6","78.4","79.8","101","","144.8","143.8","","154.4","153.5","","","70.7"
"","Q3","77.9","78.9","80.4","101.2","","145.4","145.6","","155.4","155.6","","","71.1"
"","Q4","78.1","79","81.1","101.2","","146","147","","156.2","157.3","","","71.8"
"","1995 Q1","78.3","79.3","81","101.3","","147.1","146.5","","157.7","157","","","71.8"
"","Q2","78.6","79.7","81.2","101.4","","147.6","147.3","","158.5","158.1","","","71.8"
"","Q3","78.8","80","81.3","101.5","","148.2","148","","159.3","159.1","","","71.8"
"","Q4","79.2","80.4","81.7","101.5","","150.1","150.5","","161.3","161.8","","","72"
"","1996 Q1","79.2","80.3","81.7","101.5","","149.9","150.9","","161.3","162.3","","72.4","72.2"
"","Q2","79.3","80.4","82","101.4","","148.8","150.2","","160","161.6","","72.5","72.5"
"","Q3","79.5","80.5","82.1","101.3","","149.7","149.7","","160.4","160.6","","72.6","72.7"
"","Q4","79.9","80.9","82.3","101.2","","149.6","151.6","","160.5","162.7","","73.1","72.9"
"","1997 Q1","80.4","81.3","83","101.1","","150.2","150.6","","161","161.3","","73.6","73.8"
"","Q2","80.8","81.8","83.5","101.2","","150.4","151.8","","161.4","162.8","","74.2","74.3"
"","Q3","81","82.1","83.7","101.3","","150.2","150.4","","161.1","161.3","","74.4","74.5"
"","Q4","81.2","82.1","83.6","101.1","","149.7","149.3","","160.6","160.3","","74.4","74.5"
"","1998 Q1","81.3","82.1","84","101","","149.2","150.5","","160","161.6","","74.5","74.7"
"","Q2","81.4","82.2","84","101","","149.2","150.9","","160","161.9","","74.7","74.8"
"","Q3","81.8","82.7","84.4","101.1","","149.6","150.4","","160.5","161.5","","75.3","75.4"
"","Q4","82.2","83","83.9","101","","147.7","147.2","","158.3","157.9","","75.8","75.4"
"","1999 Q1","82.4","83.3","84.4","101","","145.4","144.3","","155.9","154.9","","76.4","76.3"
"","Q2","82.6","83.7","84.6","101.3","","143.9","142.9","","154.3","153.4","","77","76.8"
"","Q3","83","83.9","85.1","101.1","","142.7","141.9","","153","152.3","","77.4","77.5"
"","Q4","83.3","84","85.3","100.9","","141.6","141.8","","151.9","152.4","","77.8","77.8"
"","2000 Q1","83.4","84.2","84.1","100.9","","140.5","139.2","","150.7","149.2","","78.1","76.8"
"","Q2","83.7","84.4","85.1","100.7","","139.4","139.3","","149.1","149.2","","78.4","77.8"
"","Q3","84","84.7","85.2","100.8","","138.2","137.5","","147.6","146.6","","78.9","78.2"
"","Q4","84","84.6","85.9","100.8","","135.8","135.2","","144.9","144.2","","79.2","79.4"
"","2001 Q1","84.2","84.7","85.6","100.6","","134.4","134.6","","143.2","143.3","","79.4","79.3"
"","Q2","84.5","85.1","86.2","100.8","","133.6","133.7","","142.2","142.5","","80","80"
"","Q3","84.5","85","86","100.6","","131","131.1","","139.4","139.7","","80.1","80.1"
"","Q4","84.8","85.2","85.9","100.6","","129.5","129.2","","137.9","137.4","","80.4","80.1"
"","2002 Q1","84.8","85.3","85.7","100.6","","127.7","127.5","","135.8","135.6","","80.6","80.1"
"","Q2","85.2","85.7","85.3","100.6","","126.8","124.9","","134.7","132.8","","81.2","80.1"
"","Q3","85.2","85.8","85.9","100.7","","125","124","","132.7","131.8","","81.6","80.9"
"","Q4","85.7","86.2","86","100.6","","123.8","122.9","","131.4","130.5","","82.2","81.3"
"","2003 Q1","85.7","86.1","86","100.5","","121.6","119.6","","128.9","127","","82.3","81.6"
"","Q2","86.1","86.5","86.2","100.5","","120","118.3","","127.1","125.5","","82.8","81.9"
"","Q3","86.1","86.6","86.3","100.6","","118.2","116.6","","125.2","123.5","","83.1","82.2"
"","Q4","86.3","86.6","85.9","100.4","","116.7","115.4","","123.7","122.4","","83.2","81.8"
"","2004 Q1","86.8","87.1","86.8","100.4","","115.6","113.8","","122.7","121.1","","83.8","82.9"
"","Q2","86.8","87.1","86.5","100.3","","114.4","113.3","","121.3","120.2","","83.9","82.6"
"","Q3","86.9","87.2","86.7","100.3","","113.8","112.7","","120.4","119.6","","84.2","83"
"","Q4","87.4","87.6","87.7","100.2","","112.6","112.6","","119.1","119.4","","84.5","84.2"
"","2005 Q1","87.8","87.9","87.8","100.2","","111.2","110.8","","117.5","117.2","","85","84.3"
"","Q2","87.8","88.1","87.7","100.3","","109.9","109.6","","115.8","115.7","","85.3","84.5"
"","Q3","88.2","88.5","88.3","100.3","","108.9","108.8","","114.7","114.5","","85.8","85.3"
"","Q4","88.1","88.1","88.3","100.1","","107.5","106.7","","113","112.1","","85.5","85.4"
"","2006 Q1","88.6","88.6","88.6","100","","107.6","106.5","","113.1","111.7","","86.1","85.7"
"","Q2","88.7","88.9","88.4","100.2","","107.9","106.3","","113.1","111.6","","86.4","85.7"
"","Q3","89","89.2","88.6","100.3","","108.3","106.1","","113.4","111.1","","86.7","85.7"
"","Q4","89.1","89.2","88.9","100.2","","107.3","106.6","","112.1","111.5","","86.8","86"
"","2007 Q1","89","89.2","89.1","100.2","","106","105.9","","110.5","110.8","","86.8","86.3"
"","Q2","89.4","89.7","89.5","100.3","","105.5","105","","109.8","109.6","","87.4","86.7"
"","Q3","89.7","90","89.6","100.3","","105.5","104.7","","109.6","109","","87.7","87"
"","Q4","90.2","90.4","89.6","180.3","","104.4","103.7","","108.4","107.7","","88.3","87.2"
"","2008 Q1","90.5","90.7","90.8","100.2","","104.3","104.4","","108.1","108.4","","88.7","88.5"
"","Q2","90.6","90.9","89.8","100.4","","104.1","102.8","","107.8","106.8","","88.9","87.5"
"","Q3","90.2","90.5","89.8","100.4","","103","101.8","","106.1","105.3","","88.6","87.7"
"","Q4","90","90.3","89.3","100.3","","101.4","99.7","","104.2","102.8","","88.5","87.3"
"","2009 Q1","89.5","89.9","87.8","100.5","","98.9","96.6","","101.4","98.7","","88.4","85.7"
"","Q2","88.7","89","87.5","100.4","","96.8","95.7","","99.3","98.5","","87.7","85.6"
"","Q3","88.6","89.1","87","100.5","","96.7","95","","99.2","97.6","","87.9","85.4"
"","Q4","88.7","89","87","100.3","","96.4","94.8","","98.8","97.2","","87.9","85.5"
"","2010 Q1","88.5","88.6","86.9","100.2","","95.1","94.9","","97","97.1","","87.8","85.5"
"","Q2","89","89.4","87.7","100.4","","95.6","95.8","","97.1","97.4","","88.6","86.2"
"","Q3","89.6","89.9","88.1","100.4","","96.1","96.1","","97.3","97.4","","89.1","86.7"
"","Q4","89.4","89.6","88.5","100.3","","96.1","98","","97.3","99.7","","88.8","86.9"
"","2011 Q1","89.8","90.2","88.5","100.5","","96.7","98.4","","97.5","99","","89.5","87.2"
"","Q2","89.8","90.1","87.6","100.4","","96","96.1","","96.8","96.8","","89.5","86.4"
"","Q3","89.3","89.7","88.1","100.5","","95.3","95.4","","96.2","96.1","","88.9","86.9"
"","Q4","89.5","89.7","88","100.3","","94.7","95.2","","95.4","95.5","","89.1","87.1"
"","2012 Q1","89.8","90.2","88.9","100.4","","95.4","95.8","","96","96.2","","89.5","88"
"","Q2","90.5","90.8","89.5","100.3","","97.2","97.3","","97.4","97.7","","90.1","88.6"
"","Q3","90.7","91","90.4","100.3","","98.1","98.8","","98","98.4","","90.4","89.6"
"","Q4","91.2","91.5","90.6","100.3","","96.8","97","","97.2","97.3","","91.1","90.2"
"","2013 Q1","91","91.1","90.7","100.2","","96","98","","96","97.7","","90.9","90.2"
"","Q2","91.3","91.6","91","100.3","","95.6","97.8","","95.8","98","","91.4","90.5"
"","Q3","91.8","92.2","92","100.4","","96.6","99.4","","97","99.3","","92","91.3"
"","Q4","92.4","92.7","92.2","100.4","","96.7","98.5","","96.8","98.3","","92.5","91.6"
"","2014 Q1","93.1","93.4","93","100.3","","95.9","98.1","","96.2","98.2","","93.1","92.3"
"","Q2","93.6","94.1","93.9","100.5","","96.2","98.1","","96.8","98.7","","94","93.2"
"","Q3","94","94.4","94.3","100.5","","97.2","98.2","","97.8","98.6","","94.3","93.6"
"","Q4","94.3","94.7","94.8","100.4","","97.3","99.1","","97.9","99.2","","94.5","94.1"
"","2015 Q1","95","95.3","95.1","100.4","","98.3","99","","98.8","99.7","","95.2","94.6"
"","Q2","94.9","95.3","95","100.4","","97.9","99.4","","98.1","99.5","","95.3","94.7"
"","Q3","95.5","95.8","95","100.3","","97.9","98.4","","98","98.7","","95.8","94.7"
"","Q4","96.2","96.3","96.9","100.1","","97.1","100.5","","97.6","101.4","","96.2","96.3"
"","2016 Q1","96.3","96.3","96.4","100","","97.3","98.5","","97.4","98.8","","96.3","96.2"
"","Q2","96.8","96.9","96.6","100.1","","98","98.6","","98.6","99.2","","97","96.4"
"","Q3","97","97.2","96.8","100.2","","97.6","98.3","","98","98.8","","97.4","96.8"
"","Q4","97.1","97.1","97.2","100","","97.5","98.7","","97.7","98.7","","97.2","96.9"
"","2017 Q1","97.4","97.3","97.8","99.9","","97.6","98.3","","97.9","98.2","","97.2","97.5"
"","Q2","97.8","97.8","98.4","100.1","","98.8","100","","99.1","99.9","","97.6","97.7"
"","Q3","97.8","97.9","97.4","100.2","","100","100.3","","100.4","100.4","","97.6","96.6"
"","Q4","98","98.1","97.6","100.1","","100.4","100.5","","100.5","100.1","","97.8","97.1"
"","2018 Q1","98.6","98.6","98.1","99.9","","100.9","100.4","","100.9","100","","98.3","97.6"
"","Q2","98.7","98.8","98.2","100","","101.2","101.1","","101.1","100.2","","98.5","97.6"
"","Q3","98.9","99","99.1","100.2","","101.3","101.4","","101.1","100.1","","98.7","98.7"
"","Q4","99.4","99.3","99","99.9","","100.5","100","","100","99.5","","99.1","98.6"
"","2019 Q1","99.7","99.5","100.1","99.8","","99.8","101.5","","99.7","101.3","","99.4","99.6"
"","Q2","100","100.1","100.1","100.1","","100.2","100.3","","100.2","100.2","","100.1","100"
"","Q3","99.9","100","100.1","100.1","","100.1","100.3","","100.1","100.5","","100","100.1"
"","Q4","100.4","100.4","99.8","100","","99.9","98","","100","98","","100.5","100.3"
"","2020 Q1","100.7","100.9","98.1","100.3","","100.2","96.8","","100.2","96.5","","101.2","98.6"
"","Q2","99.4","99.2","80.3","99.8","","98","80","","97.7","78.1","","99.6","81.2"
"","Q3","98.6","98.5","87.2","99.8","","97.1","85.7","","96.9","84","","99","88.3"
"","Q4","98","97.9","92.1","99.8","","96.7","92.1","","96.4","91.3","","98.5","92.6"
"","2021 Q1","98.1","98.2","90.3","100.1","","95.8","90.6","","95.6","89.5","","99","90.8"
"","Q2","98.4","98.6","95.2","100.2","","95.6","94.2","","94.9","93.2","","99.4","95.8"
"","Q3","99.2","99.3","97.6","100.1","","95.8","93.3","","95","92.1","","100.1","98.8"
"","","","","","","","","","","","","","",""
"Per cent change on quarter a year ago","","","","","","","","","","","","","",""
"","","DIW9","LNNO","LZVC","","","DJW8","DK3U","","DJX3","DK44","","DK2I","DK58"
"","2010 Q2","0.4","0.4","0.2","..","","-1.2","0.1","","-2.1","-1.1","","1","0.6"
"","Q3","1.1","1","1.3","..","","-0.7","1.1","","-1.9","-0.2","","1.4","1.5"
"","Q4","0.8","0.7","1.7","..","","-0.4","3.4","","-1.5","2.6","","1","1.6"
"","2011 Q1","1.5","1.7","1.8","..","","1.7","3.6","","0.5","2","","1.8","2"
"","Q2","0.9","0.8","-0.1","..","","0.4","0.3","","-0.3","-0.5","","1.1","0.3"
"","Q3","-0.4","-0.3","0","..","","-0.8","-0.6","","-1.2","-1.3","","-0.2","0.2"
"","Q4","0.1","0.1","-0.5","..","","-1.4","-2.9","","-2","-4.3","","0.3","0.2"
"","2012 Q1","0","0","0.4","..","","-1.3","-2.6","","-1.6","-2.9","","0.1","0.9"
"","Q2","0.7","0.7","2.2","..","","1.2","1.3","","0.6","0.9","","0.7","2.5"
"","Q3","1.6","1.5","2.6","..","","2.9","3.5","","1.9","2.3","","1.6","3.2"
"","Q4","1.9","1.9","3","..","","2.2","1.9","","1.8","1.9","","2.2","3.5"
"","2013 Q1","1.3","1.1","2.1","..","","0.6","2.3","","0.1","1.6","","1.6","2.5"
"","Q2","0.9","0.9","1.7","..","","-1.6","0.5","","-1.6","0.3","","1.5","2.2"
"","Q3","1.2","1.3","1.9","..","","-1.5","0.6","","-1.1","0.9","","1.8","1.9"
"","Q4","1.3","1.4","1.7","..","","-0.1","1.5","","-0.4","1.1","","1.6","1.6"
"","2014 Q1","2.3","2.5","2.6","..","","-0.1","0.1","","0.2","0.5","","2.5","2.3"
"","Q2","2.6","2.8","3.3","..","","0.6","0.4","","1","0.7","","2.8","3"
"","Q3","2.4","2.5","2.4","..","","0.6","-1.2","","0.8","-0.7","","2.5","2.5"
"","Q4","2.2","2.2","2.8","..","","0.6","0.7","","1.1","0.9","","2.2","2.7"
"","2015 Q1","2","2.1","2.2","..","","2.5","1","","2.7","1.5","","2.2","2.6"
"","Q2","1.3","1.2","1.1","..","","1.8","1.3","","1.4","0.8","","1.4","1.6"
"","Q3","1.6","1.4","0.8","..","","0.8","0.1","","0.2","0.2","","1.7","1.2"
