"      Other New World monkey","0","-","-","-","-","-","-","-","      Other New World monkey","-","-","-","-","-","-","-","-","-","0",""
"   Old World monkey","","","","","","","","","   Old World monkey","","","","","","","","","","",""
"      Macaque","0","-","-","-","-","-","-","-","      Macaque","  877 ","-","-","  357 ","-","-","-","  324 ","-","  1,558 ",""
"      Baboon","0","-","-","-","-","-","-","-","      Baboon","-","-","-","-","-","-","-","-","-","0",""
"      Other Old World monkey","0","-","-","-","-","-","-","-","      Other Old World monkey","-","-","-","-","-","-","-","-","-","0",""
"   Ape","","","","","","","","","   Ape","","","","","","","","","","",""
"      Gibbon","0","-","-","-","-","-","-","-","      Gibbon","-","-","-","-","-","-","-","-","-","0",""
"      Great Ape","0","-","-","-","-","-","-","-","      Great Ape","-","-","-","-","-","-","-","-","-","0",""
"  Other mammal","0","-","-","-","-","-","-","-","  Other mammal","0","-","-","-","-","-","-","-","-","0",""
"Bird","","","","","","","","","Bird","","","","","","","","","","",""
"  Domestic fowl (Gallus domesticus)","0","  235 ","-","-","-","-","-","-","  Domestic fowl (Gallus domesticus)","  1,997 ","  9,091 ","  909 ","  30 ","-","-","-","  261 ","0","  12,523 ",""
"  Turkey","0","  64 ","-","-","-","-","-","-","  Turkey","  1,187 ","  677 ","-","-","-","-","-","  3 ","-","  1,931 ",""
"  Quail (Coturnix coturnix)","0","-","-","-","-","-","-","-","  Quail (Coturnix coturnix)","-","-","-","-","-","-","-","-","-","0",""
"  Quail (spp,other than Coturnix coturnix)","0","  752 ","-","-","-","-","-","-","  Quail (spp,other than Coturnix coturnix)","-","-","-","-","-","-","-","-","-","  752 ",""
"  Other bird","  64 ","  382 ","-","-","-","-","-","-","  Other bird","-","-","-","-","-","-","-","-","-","  446 ",""
"Reptile - any reptilian species","0","-","0","-","-","-","-","-","Reptile - any reptilian species","0","-","-","-","-","-","-","-","0","0",""
"Amphibian - any amphibian species","  400 ","-","-","-","-","-","-","-","Amphibian - any amphibian species","-","-","-","-","-","-","-","-","  19 ","  419 ",""
"Fish - any fish species","  11,205 ","  1,965 ","  680 ","-","-","-","-","-","Fish - any fish species","  44,796 ","  7,977 ","-","  900 ","  259 ","-","-","  8,568 ","0","  76,350 ",""
"Total","  13,676 ","  22,785 ","  19,203 ","0","  3,524 ","  4,089 ","0","0","Total","  154,894 ","  23,353 ","  110,286 ","  21,500 ","  2,145 ","0","  2,239 ","  17,505 ","  3,927 ","  399,126 ",""
"Increase on 2010","5,254 ","5,808 ","-""#,##0"" ","-""#,##0"" ","2,409 ","-""#,##0"" ","0 ","0 ","Increase on 2010","32,983 ","-""#,##0"" ","17,060 ","-""#,##0"" ","-""#,##0"" ","0 ","1,165 ","-""#,##0"" ","-""#,##0"" ","7,932 ",""
"Percentage change from 2010","62%","34%","-""0f%","N/A","216%","-""0f%","N/A","N/A","Percentage change from 2010","27%","-""0f%","18%","-""0f%","-""0f%","N/A","108%","-""0f%","-""0f%","2%",""
"Percentage of total for 2011","3%","6%","5%","0%","0.9%","1%","0%","0%","Percentage of total for 2011","39%","6%","28%","5%","1%","0%","0.6%","4%","1%","100%",""
"2010 Totals","8,422 ","16,977 ","27,104 ","24 ","1,115 ","7,688 ","0 ","0 ","2010 Totals","121,911 ","26,392","93,226 ","24,925 ","37,856 ","0 ","1,074 ","20,258 ","4,222 ","391,194 ",""
"","","","","","","","","","(1) Following a decision in 1997, procedures using animals in research on tobacco have not been allowed.","","","","","","","","","","",""
"N/A = Not applicable","","","","","","","","","N/A = Not applicable","","","","","","","","","","",""
"(2) Following a decision in 1998, procedures using animals in research on finished cosmetics and on cosmetic ingredients have not been allowed.","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","pharmaceutical safety and efficacy evaluation","","","","","","","","","",""
"","","","","","","","","","","","  310,033 ","","","","","","","","",""
"","","","","","","","","","","","78%","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
